"id","abbreviation","fullform","type","publication_id"
"1557","SEM "," F. Chiera, Sumerian Epics and Myths (= OlP 15, 1934)   ",NULL,NULL
"1558","Sem. "," Semitic   ",NULL,NULL
"1559","SET "," T.B. Jones and J.W Snyder, Sumerian Economic Texts from the Third Ur Dynasty (Minneapolis 1961)   ",NULL,NULL
"1560","SEV "," Studi Egei e Vicinorientali (Napoli)   ",NULL,NULL
"1561","SF (aka Deimel SF) "," A. Deimel, Schultexte aus Fara (= WVDOG 43, 1923)   ",NULL,NULL
"1562","SFS "," V. Scheil, Une saison de fouilles à; Sippar, 1 (1902)   ",NULL,NULL
"1563","Sg. II (aka Lie, Sg.) "," A. Fuchs, Die Inschriften Sargons II. aus Khorsabad (Göttingen 1994); A. Lie, The lnscriptions of Sargon II, King of Assyria, I  The Annals (Paris 1929); D. Lyon, Keilschrifttexte Sargons . .. (=AB 5,1883); F. Thureau-Dangin, Une relation de la huitième campagne de Sargon (= TCL 3, 1912) = Sg. 8; H. Winckler, Die Keilschrifttexte Sargons . . . (Leipzig 1889)  ",NULL,NULL
"1564","SGL (aka Falkenstein Götterlieder,van Dijk Gotterlieder) "," Sumerische Götterlieder, I  A. Falkenstein; II  J. van Dijk (= AHAW 1959, 1; 1960, 1) ",NULL,NULL
"1565","Sh Voc. "," lex. series; MSL 3, 91ff., 132ff.   ",NULL,NULL
"1566","Shabra to the Generals "," letter; ms. Å.W. Sjöberg   ",NULL,NULL
"1567","SHAJ "," Studies in the History and Archaeology of Jordan (Amman 1982 ff.)   ",NULL,NULL
"1568","Shamash "," A. Schollmeyer, Sumerisch-babylonische Hymnen und Gebete an Shamash   ",NULL,NULL
"1569","Sharrumbani to Lunanna "," letter; ISET 2, 117 Ni.4164 4ff.  ",NULL,NULL
"1570","Sharrumbani to Susin "," letter; C. Wilcke, WO 5, 7f.; Michalowski Correspondence 224ff   ",NULL,NULL
"1571","SHAW (aka SB Heidelberg) "," Sitzungsberichte der Heidelberger Akademie der Wisseinschaften. Phil-hist. Klasse (Heidelberg 1910 ff.)   ",NULL,NULL
"1572","Shepherd and Farmer "," lit. comp.; Sefati Love Songs 368ff. (SRT 3; SEM 92; UM 29-16-435 [unpubl.]; SEM 93); van Dijk Sagesse, 65ff.   ",NULL,NULL
"1573","Shuilishu 1 "," (StOr 49,2)   ",NULL,NULL
"1574","Shuilishu 2 "," (StOr 49,3f.)   ",NULL,NULL
"1575","Shuilishu 3 "," (RIME 4,18f.  Suilisu 3)  ",NULL,NULL
"1576","Shuilishu lff. "," royal inscr.   ",NULL,NULL
"1577","Shuilishu seal a "," (8tOr 49,39 (edited as Damiqilishu 1 3); RIME 4  Shuilishu 4)  ",NULL,NULL
"1578","Shuilishu seal b-d "," (RIME 4 20f.  Shuilishu 2001-2003)  ",NULL,NULL
"1579","Shulgi A "," lit. comp.; Klein Shulgi 182ff.   ",NULL,NULL
"1580","Shulgi B "," lit. comp.; ms. G. Haayer; rev. ms. Å.W. Sjöberg   ",NULL,NULL
"1581","Shulgi C "," lit. comp.; ms. J. Klein   ",NULL,NULL
"1582","Shulgi D "," lit. comp.; Klein Shulgi 70ff.   ",NULL,NULL
"1583","Shulgi E "," lit. comp.; ms. J. Klein   ",NULL,NULL
"1584","Shulgi F "," lit. comp.; ms. J Klein   ",NULL,NULL
"1585","Shulgi G "," lit. comp.; CT 36, 26-27; J. Klein, Studies Tadmor 292ff.   ",NULL,NULL
"1586","Shulgi H "," lit. comp.; BE 31, 4   ",NULL,NULL
"1587","Shulgi K "," lit. comp.; ISET 1, 91 Ni.4385 13f.   ",NULL,NULL
"1588","Shulgi L "," lit. comp.; TCL 15, 32   ",NULL,NULL
"1589","Shulgi lff. "," royal inscr.; Steible NBW 2, 153ff.   ",NULL,NULL
"1590","Shulgi M "," lit. comp.; SLTNi 76   ",NULL,NULL
"1591","Shulgi O "," lit. comp., J Klein, AOAT 25 271ff., rev. ms. Å.W. Sjöberg   ",NULL,NULL
"1592","Shulgi P "," lit. comp.; J. Klein, TAPS 71/7   ",NULL,NULL
"1593","Shulgi Q "," lit. comp.; SRT 15; ms. J Klein   ",NULL,NULL
"1594","Shulgi R "," lit. comp.; J Klein, Studies Artzi 65ff.   ",NULL,NULL
"1595","Shulgi S "," lit. comp.; UET 6/1, 93 and dupls.   ",NULL,NULL
"1596","Shulgi statue "," royal inscr.; M. Civil, Studies Å.W. Sjöberg 49ff.   ",NULL,NULL
"1597","Shulgi T "," lit. comp.; Å.W. Sjöberg, AOAT 25, 416 91-116; cf. Klein Shulgi 42 note 79  ",NULL,NULL
"1598","Shulgi to Amarsuen "," letter; ISET 2, 115 Ni.3083 and dupl.; cf. Michalowski Correspondence 186ff.   ",NULL,NULL
"1599","Shulgi to Aradmu 1 "," letter; Ali Letters 34ff. A 2; Michalowski Correspondence 147ff.; Michalowski LEM no. 97  ",NULL,NULL
"1600","Shulgi to Aradmu 2 "," letter; Michalowski Correspondence 222f., S.N. Kramer, OECT 5, 13ff.   ",NULL,NULL
"1601","Shulgi to Aradmu 3 "," letter; Michalowski Correspondence 184f.   ",NULL,NULL
"1602","Shulgi to Ishbierra "," letter; D.O. Edzard, MDI 57, no. 1 ii 40ff.   ",NULL,NULL
"1603","Shulgi to Puzursulgi 1 "," letter; Michalowski Correspondence 186ff.   ",NULL,NULL
"1604","Shulgi to Puzursulgi 2 "," letter; D.O. Edzard, MDI 57, no. 1 i lff.; Michalowski Correspondence 189ff.   ",NULL,NULL
"1605","Shulgi U "," lit. comp.; van Dijk Götterlieder   ",NULL,NULL
"1606","Shulgi W "," lit. comp., UET 6/1, 83   ",NULL,NULL
"1607","Shulgi X "," lit. comp.; Klein Shulgi 135ff   ",NULL,NULL
"1608","Shulgi Y "," lit. comp.; A. Falkenstein, Iraq   ",NULL,NULL
"1609","Shulgi Z "," lit. comp.; S.N. Kramer, Iraq 31, 18ff.   ",NULL,NULL
"1610","Shulgi3Hymns "," J. Klein, Three Shulgi Hymns   ",NULL,NULL
"1611","ShulgiV "," lit. comp. SRT13  1-33  ",NULL,NULL
"1612","Shulpae Hymn "," lit. comp.; A. Falkenstein, ZA 55, 1 lff.   ",NULL,NULL
"1613","Shumma Izbu "," Akk. omen series; E. Leichty, TCS 4   ",NULL,NULL
"1614","Shurpu "," incant. series; E. Reiner, AfO Beiheft 11   ",NULL,NULL
"1615","Shuruppak "," B. Alster, Mesopotamia 2   ",NULL,NULL
"1616","Shusin Hist. Inscr. A "," hist. inscr.; R. Kutscher, Brockmon Tablets 1  Royal Inscriptions, 74ff.  ",NULL,NULL
"1617","Shusin Hist. Inscr. B "," hist. inscr.; M. Civil, JCS 21, 24ff.; rev. ms. Å.W. Sjöberg; C. Wilcke, NABU 1990/33   ",NULL,NULL
"1618","Shusin Hymn A "," lit. comp.; Sefati Love Songs 390ff. (SRT 23); B. Alster, RA 79, 138ff.   ",NULL,NULL
"1619","Shusin Hymn B "," lit. comp.; Sefati Love Songs 400ff. (ISET 1, 90 Ni.2461); B. Alster, RA 79, 135ff.   ",NULL,NULL
"1620","Shusin Hymn C "," lit. comp.; Sefati Love Songs 407ff. (PAPS 107, 521 N 3560; PAPS 107, 521 N 4305 obv. li 10-12); S.N. Kramer, PAPS 107, 508   ",NULL,NULL
"1621","Shusin lff. "," royal inscr.; Steible NBW 2, 253ff.   ",NULL,NULL
"1622","Shusin to Sharrumbani "," letter; MlchalowsKl Correspondence 234ff.   ",NULL,NULL
"1623","Si. "," field numbers of tablets excavated at Sippar in the collections of the Archaeological Museums (Istanbul)   ",NULL,NULL
"1624","SIG7.ALAN "," lex. series SIG7.AILAN = nabnitu; MSL 16   ",NULL,NULL
"1625","Silliadad 1 "," royal inscr.; I. Kärki, StOr 49, 81   ",NULL,NULL
"1626","Silver and Copper "," lit. comp.; ms. M. Civil, rev. by M. Hall   ",NULL,NULL
"1627","Siniddinam 01 "," (StOr 49, 57; RIME 4  Siniddinam 13)  ",NULL,NULL
"1628","Siniddinam 02 "," (StOr 49, 58; RIME 4  Siniddinam 10)  ",NULL,NULL
"1629","Siniddinam 03 "," (StOr 49, S8f.; RIME 4  Siniddinam 11)  ",NULL,NULL
"1630","Siniddinam 04 "," (StOr 49, 59; RIME 4  Siniddinam 12)  ",NULL,NULL
"1631","Siniddinam 05 "," (StOr 49, 60)   ",NULL,NULL
"1632","Siniddinam 06 "," (StOr 49, 61; RIME 4  Siniddinam 2)  ",NULL,NULL
"1633","Siniddinam 07 "," (StOr 49, 63; RIME 4  Siniddinam 14)  ",NULL,NULL
"1634","Siniddinam 08 "," (StOr 49, 64f.; RIME 4  Siniddinam 9)  ",NULL,NULL
"1635","Siniddinam 09 "," (StOr 49, 65; RIME 4  Siniddinam 7)  ",NULL,NULL
"1636","Siniddinam 11 "," (StOr 49, 68)   ",NULL,NULL
"1637","Siniddinam 12 "," (RIME 4, 177f.  Siniddinam 15)  ",NULL,NULL
"1638","Siniddinam 13 "," (StOr 49, 68; RIME 4  Siniddinam 1 [Il. 1-40 only])  ",NULL,NULL
"1639","Siniddinam 14 "," (StOr 49, 76-79; RIME 4  Siniddinam 6)  ",NULL,NULL
"1640","Siniddinam 15 "," (StOr 49, 79; RIME 4  Siniddinam 3)  ",NULL,NULL
"1641","Siniddinam 16 "," (StOr 49, 79, RIME 4  Siniddinam 4)  ",NULL,NULL
"1642","Siniddinam 17 "," (RIME 4, 167f.  Siniddinam 8)  ",NULL,NULL
"1643","Siniddinam A "," lit. comp.; UET 6/1, 98 and dupl., ms. M. Roth   ",NULL,NULL
"1644","Siniddinam and Ishkur "," lit. comp.; P. Michalowski, Studies Sachs 265ff.   ",NULL,NULL
"1645","Siniddinam lff. "," royal inscr.   ",NULL,NULL
"1646","Siniddinam seals a-n "," (StOr49,66-68; RIME 4  Siniddinam 2001-2014)  ",NULL,NULL
"1647","Siniddinam to Nininsina "," letter-prayer; W.W. Hallo, AOAT25 214ff.   ",NULL,NULL
"1648","Siniddinam to Utu "," letter-prayer; W.W. Hallo, Studies Kraus 95ff.; R. Borger, Nachrichten der Akademie der Wissenschaften in Göttingen 1, 1991 no. 2, 22-81, rev. ms. Å.W. Sjöberg   ",NULL,NULL
"1649","Sinillatum to Iddindagan "," letter; Ali Letters 63ff. B 2; rev ms. P. Michalowski  ",NULL,NULL
"1650","Siniqisham 01 "," (StOr 49, 80f.; RIME 4  Siniqisham 2)  ",NULL,NULL
"1651","Siniqisham 02 "," (StOr 49, 81; RIME 4 Siniqisham 2001)   ",NULL,NULL
"1652","Siniqisham 03 "," (RIME 4, 197  Siniqisham 3)  ",NULL,NULL
"1653","Siniqisham 04 "," (RIME 4, 190  Siniqisham 1)  ",NULL,NULL
"1654","Siniqisham lff. "," royal inscr.   ",NULL,NULL
"1655","Siniqisham seal a "," (StOr 49, 81; RIME 4 Siniqisham 2002)   ",NULL,NULL
"1656","Sinkashid 01 "," (StOr 49, 177)   ",NULL,NULL
"1657","Sinkashid 02 "," (StOr 49, 177)   ",NULL,NULL
"1658","Sinkashid 03 "," (StOr 49, 178)   ",NULL,NULL
"1659","Sinkashid 04 "," (StOr 49, 179)   ",NULL,NULL
"1660","Sinkashid 07 "," (StOr 49, 181; RIME 4  Sinkashid 10)  ",NULL,NULL
"1661","Sinkashid 08 "," (StOr 49, 182)   ",NULL,NULL
"1662","Sinkashid 09 "," (StOr 49, 183; RIME 4  Sinkashid 6)  ",NULL,NULL
"1663","Sinkashid 10 "," (StOR 49, 183; RIME 4  Sinkashid 11)  ",NULL,NULL
"1664","Sinkashid 11 "," (StOr 49, 184; RIME 4  Sinkashid 12)  ",NULL,NULL
"1665","Sinkashid 12 "," (StOr 49, 185; RIME 4  Sinkashid 13)  ",NULL,NULL
"1666","Sinkashid 13 "," (StOr 49, 186; RIME 4  Sinkashid 14)  ",NULL,NULL
"1667","Sinkashid 14 "," (StOr 49, 186f; RIME 4  Sinkashid 15)  ",NULL,NULL
"1668","Sinkashid lff. "," royal inscr.   ",NULL,NULL
"1669","Sinkasid 04 var. "," (StOr 49, 179; RIME 4  Sinkashid 5)  ",NULL,NULL
"1670","Sinkasid 05 "," (StOr 49, 180; RIME 4  Sinkashid 9)  ",NULL,NULL
"1671","Sinkasid 06 "," (StOr 49, 180; RIME 4  Sinkashid 7)  ",NULL,NULL
"1672","Sinmagir 01 "," (StOr 49, 35f.)   ",NULL,NULL
"1673","Sinmagir 02 "," (StOr 49, 36)   ",NULL,NULL
"1674","Sinmagir lff. "," royal inscr.   ",NULL,NULL
"1675","Sinmagir seal a-c "," (StOr 49, 36; RIME 4  Sinmagir 2001-2003)  ",NULL,NULL
"1676","Sinshamuh to Enki "," letter-prayer; W.W. Hallo, JAOS 88, 82f.   ",NULL,NULL
"1677","Sistema verbale "," Franco D'Agostino, Il sistema verbale sumerico nei testi lessicali di Ebla, Dipartimento di studi orientali, Studi Semitici, Nuova serie 7 (Rome 1990)   ",NULL,NULL
"1678","SITU "," Rudolf H. Mayr, ""Seal Impressions on Tablets from Umma"", draft edited March 2005   ",NULL,NULL
"1679","SKIZ (aka SKI) "," W. Römer, Sumerische ,&#148;Königshymnen&#148; der Isin-Zeit (= DMOA 13, 1965)   ",NULL,NULL
"1680","SKL (aka Sumerian King List) "," lit. comp.; Th. Jacobsen, AS 11   ",NULL,NULL
"1681","SKly (aka Krecher Kultlyrik) "," J. Krecher, Sumerische Kultlyrik (Wiesbaden 1966)   ",NULL,NULL
"1682","SKT "," H. Winckler, Sammlung von Keilschrifttexten (Leipzig 1823-95)   ",NULL,NULL
"1683","SL (aka ŠL) "," A. Deimel, Shumerisches Lexikon (Rom 1925-50); vol.4/2  G. Gössmamn, Planetarium (1950)  ",NULL,NULL
"1684","SLB "," Studia ad tabulas cuneiformes collectas a F.M. Th. de Liagre Bohl pertinentia (Leiden l952 ff.)   ",NULL,NULL
"1685","SLFN "," J. Heimerdinger, Sumerian Literary Fragments from Nippur (= 0PBF 4)   ",NULL,NULL
"1686","SLOB (aka St. Lieberman, Loanwords) "," S. Lieberman, The Sumerian Loanwords in Old-Babylonian Akkadian   ",NULL,NULL
"1687","SLT "," F. Chiera, Sumerian Lexical Texts from the Temple School of Nippur (= OlP 11, 1929)   ",NULL,NULL
"1688","SLTN (aka SLTNi) "," S. Kramer, Sumerian Literary Texts from Nippur in the Museum of the Ancient Orient at Istanbul (= AASOR 23, 1944)   ",NULL,NULL
"1689","Sm. "," Museum siglum of the British Museum in London (Smith)   ",NULL,NULL
"1690","SM "," Series Maior   ",NULL,NULL
"1691","SMEA "," Studi Micenei ed Egeo-Anatolici (Rome 1966 ff.)   ",NULL,NULL
"1692","SMN "," Museum siglum of the Semitic Museum of the Harvard University (Nuzi Tablets)   ",NULL,NULL
"1693","SMS "," Syro-Mesopotamian Studies (Malibu 1977 ff.)   ",NULL,NULL
"1694","SMSB "," The (Canadian) Society for Mesopotamian Studies, Bulletin (Toronto)   ",NULL,NULL
"1695","SMSR "," Studi e materiali di storia delle religioni (Rome 1925 ff.)   ",NULL,NULL
"1696","Sn. "," Sanherib (following D. Luckenbill, OlP 2, 1924)   ",NULL,NULL
"1697","SNAT (aka Gomi-Sato Brltlsh Museum) "," T. Gomi/S. Sato, Selected Neo-Sumerian Administrative Texts from the British Museum (Chiba, Japan 1990)   ",NULL,NULL
"1698","SCCNH "," Studies on the Civilization and Culture of Nuzi and the Hurrians (Winona Lake, Indiana & Bethesday, Maryland, 1981ff.)   ",NULL,NULL
"1699","SO (aka Sources orientales) "," Sources orientales (Paris 1959-1971)   ",NULL,NULL
"1700","Song of the Millstone "," lit. comp.; ms. M. Civil   ",NULL,NULL
"1701","South Dakota (aka Forde South Dakota) "," N. Forde, Neo-Sumerian texts from South Dakota University, Luther and Union Colleges   ",NULL,NULL
"1702","SP (aka Gordon Sumerian Proverbs, Sp) "," E. l. Gordon, Sumerian Proverbs (Philadelphia (Museum Monograph) 1959)   ",NULL,NULL
"1703","SP Coll. 01 "," proverbs; Alster Proverbs 3ff.   ",NULL,NULL
"1704","SP Coll. 02 "," proverbs; Alster Proverbs 40ff.   ",NULL,NULL
"1705","SP Coll. 03 "," proverb5, Alster Proverbs 76ff.   ",NULL,NULL
"1706","SP Coll. 04 "," proverbs; Alster Proverbs 113ff.   ",NULL,NULL
"1707","SP Coll. 05 "," proverbs; Alster Proverbs 119ff.   ",NULL,NULL
"1708","SP Coll. 06 "," proverbs; Alster Proverbs 144ff.   ",NULL,NULL
"1709","SP Coll. 07 "," proverbs; Alster Proverbs 155ff.   ",NULL,NULL
"1710","SP Coll. 08 "," proverbs; Alster Proverbs 165ff.   ",NULL,NULL
"1711","SP Coll. 09 "," proverbs; Alster Proverbs 176ff.   ",NULL,NULL
"1712","SP Coll. 10 "," proverbs; Alster Proverbs 188ff.   ",NULL,NULL
"1713","SP Coll. 11 "," proverbs; Alster Proverbs190ff.   ",NULL,NULL
"1714","SP Coll. 12 "," proverbs; Alster Proverbs 196ff.   ",NULL,NULL
"1715","SP Coll. 13 "," proverbs, Alster Proverbs 206ff.   ",NULL,NULL
"1716","SP Coll. 14 "," proverbs; Alster Proverbs 216ff.   ",NULL,NULL
"1717","SP Coll. 19 "," proverbs; Alster Proverbs 243ff.   ",NULL,NULL
"1718","SpTU (aka Hunger Uruk,von Weiher Uruk; SpBTU) "," Spätbabylonische Texte aus Uruk, I  H. Hunger (= ADFU 9, 1976); Il-IV  E. von Weiher (= ADFU 10, 1983; 12, 1988; AUWE 12, 1993); V  (= AUWE 13, 1998)",NULL,NULL
"1719","SRT "," E. Chiera, Sumerian Religious Texts (Upland, Pennsylvania 1924)   ",NULL,NULL
"1720","SRU (aka Edzard SR) "," D.O. Edzard, Sumerische Rechtsurkunden des III. Jahrtausends (= ABAW NF 67, 1968)   ",NULL,NULL
"1721","SS "," Supplementary Series   ",NULL,NULL
"1722","STA (aka Chiera STA) "," E. Chiera, Selected Temple Accounts (from Telloh, Yokha and Drehem) (Philadelphia 1922)   ",NULL,NULL
"1723","StA (aka SA) "," tablets in the collections of the Monastery of St. Anne (Jerusalem)   ",NULL,NULL
"1724","StAT "," Studien zu den Assur-Texten   ",NULL,NULL
"1725","Statues de culte "," A. Spycket, Les statues de culte dans les textes mésopotamiens des origines à; la le dynastie de Babylone (Paris 1968)   ",NULL,NULL
"1726","StBibFran "," Studium Biblicum Franciscanum Museum (Jersusalem)   ",NULL,NULL
"1727","StBoT "," Studien zu den Bogazköy-Texten (Wiesbaden 1965 ff.); Beih. = Beiheft (1988 ff.)   ",NULL,NULL
"1728","STC "," L. W. King, The Seven Tablets of Creation   ",NULL,NULL
"1729","STD (aka Margolis STD) "," E. Margolis, Sumerian Temple Documents   ",NULL,NULL
"1730","StEb "," Studi Eblaiti (Rome 1979 ff.)   ",NULL,NULL
"1731","Steible Rimsin "," H. Steible, FAOS 1   ",NULL,NULL
"1732","STH "," M. Hussey, Sumerian Tablets of the Harvard Semitic Museum (Cambridge, Mass. 1912-1915)   ",NULL,NULL
"1733","StLouis "," R. David Freedman, The Cuneiform Tablets in St. Louis (Columbia University PhD Dissertation, 1975)   ",NULL,NULL
"1734","StMar (aka Studia Mariana) "," Studia Mariana. Gedenkschrift E. Cabane (= DMOA 4, 1950)   ",NULL,NULL
"1735","StMed "," Studia Mediterranea (Pavia i979 ff.)   ",NULL,NULL
"1736","StOr "," Studia Orientalia (HeIsinki 1925 ff.)   ",NULL,NULL
"1737","StPohl "," Studia Pohl (Rom 1967 ff.); SM = Series Maior (1969 ff.)   ",NULL,NULL
"1738","Streck Asb. "," M. Streck, Assurbanipal und die letzten assyrischen Könige bis zum Untergange Niniveh's (1916)   ",NULL,NULL
"1739","StrKT (aka Straßburger Keilschrifttexte) "," C. Frank, Straßburger Keilschrifttexte (Berlin/Leipzig 1928); s. DCS (new edition)   ",NULL,NULL
"1740","StSem "," Studi Semitici. Centro di studi semitici. Università; di Roma (Rome 1958 ff.)   ",NULL,NULL
"1741","STT "," O. Gurney/J. Finkelstein, The Sultantepe Tablets, I/II (London 1957/1964)   ",NULL,NULL
"1742","STTI (aka Donbaz-Foster Telloh, STTe) "," V.Donbaz/B. Foster, Sargonic Texts from Telloh in the Istanbul Archaeological Museums (= OPBF 5 / American Research Institute im Turkey Monographs 2, Philadelphia 1982)   ",NULL,NULL
"1743","STU "," Bedale, C. L., Sumerian tablets from Umma in the John Rylands Library (New York, Longmans, Green &amp; Company, 1915)   ",NULL,NULL
"1744","Studia Pohl "," Studia Pohl  Dissertationes scientificae de rebus orientis antiqui  ",NULL,NULL
"1745","Studia Widengren "," Ex Orbe religionum  Studia Geo Widengren oblata  ",NULL,NULL
"1746","Studies Albright "," Near Eastern Studies in Honor of William Foxwell Albright   ",NULL,NULL
"1747","Studies Artzi "," Bar-Ilan Studies in Assyriology dedicated to Pinhas Artzi   ",NULL,NULL
"1748","Studies Jones "," Studies in Honor of Tom B. Jones (= AOAT 203)   ",NULL,NULL
"1749","Studies Landsberger "," Studies in honor of Benno Landsberger on his Seventy-fifth Birthday, AS 16   ",NULL,NULL
"1750","Studies Leslau "," Semitic Studies in honor of Wolf Leslau, ed. Alan S. Kaye   ",NULL,NULL
"1751","Studies Oppenheim (aka StOpp.) "," Studies presented to A. Leo Oppenheim, June 7, 1964 (Chicago, 1964)   ",NULL,NULL
"1752","Studies Sachs "," A Scientific Humanist  Studies in Memory of Abraham Sachs  ",NULL,NULL
"1753","Studies Tadmor "," Ah, Assyria . . . Studies in Assyrian History and Ancient Near Eastern Historiography Presented to Hayim Tadmor   ",NULL,NULL
"1754","STVC "," E. Chiera, Sumerian Texts of Varied Contents (= OlP 16, 1934)   ",NULL,NULL
"1755","SuAK "," E. Unger, Sumerische und akkadische Kunst (Breslau 1926)   ",NULL,NULL
"1756","Sum. "," Sumerian   ",NULL,NULL
"1757","Sumer "," Sumer. Journal of Archaeology and History in Iraq (since 1973), was Arab World (Baghdad 1945 ff.)   ",NULL,NULL
"1758","Sumer "," A. Parrot, Sumer. Die mesopotamische Kunst von den Anfängen bis zum XII. vorchristlichen Jahrhundert (Munich 1960)   ",NULL,NULL
"1759","Sumer/Assur Ergänzung "," A. Parrot, Sumer/Assur. Ergänzung 1969 (Munich 1970)   ",NULL,NULL
"1760","Sumerer und Akkader "," F. R. Kraus, Sumerer und Akkader, Ein Problem der altmesopotamischen Geschichte (Amsterdam-London 1970)   ",NULL,NULL
"1761","Sumerian Gods "," Sumerian Gods and their Representations, ed. I.L. Finkel and M.J. Geller   ",NULL,NULL
"1762","Sumerian Poem 1 "," lit. comp.; B. Alster, OLP 21, 5ff. no. 1   ",NULL,NULL
"1763","Sumerian Poem 2 "," lit. comp.; B. Alster, OLP 21, 5ff. no. 2   ",NULL,NULL
"1764","Sumerian Poem 3 "," lit. comp.; B. Alster, OLP 21, 5ff. no. 3; B. Alster, Acta Sum 8, lff.   ",NULL,NULL
"1765","Sumerian Poem 4 "," lit. comp., B. Alster, OLP 21, 5ff. no. 4 (= Early Rulers)   ",NULL,NULL
"1766","Sumerian Proverbs "," B. Alster, Mesopotamia 3   ",NULL,NULL
"1767","Sumerian Rhetoric "," R. Falkowitz, Sumerian Rhetoric Collections (diss., Univ. of Pennsylvania)   ",NULL,NULL
"1768","Sumerian Sargon Legend "," J.S. Cooper and W. Heimpel JAOS103(1983)74ff.   ",NULL,NULL
"1769","Sumerians "," S. N. Kramer, The Sumerians, their history, culture, and character (Chicago 1963)   ",NULL,NULL
"1770","SumGram "," A. Deimel, Sumerische Grammatik   ",NULL,NULL
"1771","Summer and Winter "," lit. comp.; ms. M. Civil   ",NULL,NULL
"1772","SumRecDreh (aka Nesbit, Nesbit Drehem) "," W. Nesbit, Sumerian Records from Drehem (= Columbia University Oriental Studies 8, New York 1914, reprint New York 1966).   ",NULL,NULL
"1773","Sumuel 1 "," (StOr 49, 47)   ",NULL,NULL
"1774","Sumuel 2 "," (StOr49, 47f.)   ",NULL,NULL
"1775","Sumuel 3 "," (StOr 49, 48; RIME 4  Sumuel 2002)  ",NULL,NULL
"1776","Sumuel 4 "," (StOr 49, 49; RIME 4  Sumuel 2001)  ",NULL,NULL
"1777","Sumuel lff. "," royal inscr.   ",NULL,NULL
"1778","Sumuel seal a-e "," (StOr 49, 49; RIME 4  Sumuel 2003-2007)  ",NULL,NULL
"1779","Supervisor and Scribe "," lit. comp. (Edubba C); TMH NF 3, 37 and dupls.; ms. M. Civil   ",NULL,NULL
"1780","suppl. "," supplement   ",NULL,NULL
"1781","SV "," E. Sollberger, Le Système Verbal dans les Inscriptions Royales Présargoniques des Lagash (Geneva 1952)   ",NULL,NULL
"1782","SVJAD (aka Riftin) "," A. Riftin Staro-Vavilonskie juridiczeskie i administrativnye dokumenty v sobranijach SSSR (Moskau 1937)   ",NULL,NULL
"1783","SVS "," Studi per il vocabolario sumerico, I/1-3 (Rome 1985)   ",NULL,NULL
"1784","syll. "," syllabic(ally)   ",NULL,NULL
"1785","Symbolae Bohl "," Symbolae Biblicae et Mesopotamiae Francisco Mario Theodoro de Liagre Bohl Dedicatae   ",NULL,NULL
"1786","Symb David "," Symbolae iuridicae et historicae Martino David dedicatae, ed. J. A. Ankum, R. Feenstra and W. F. Leemans (Leiden 1968)   ",NULL,NULL
"1787","Syr.-Aram. "," Syro-Aramaic   ",NULL,NULL
"1788","Syracuse (aka TENS, Syracuse) "," M. Sigrist, Textes économiques néo-sumériens de l'Université de Syracuse (= ERC Mém. 29, 1983)   ",NULL,NULL
"1789","Syria "," Syria. Revue d'art oriental et d'archéologie (Paris 1920 ff.)   ",NULL,NULL
"1790","SZ; &Scaron; "," Istanbul Museum siglum for tablets from Kisurra   ",NULL,NULL
"1791","Tablettes Drehem "," H. de Genouillac, Tablettes de Drehem (= TCL 2)   ",NULL,NULL
"1792","TAD (aka LTD) "," S. Langdon, Tablets from the Archives of Drehem (Paris, 1911)   ",NULL,NULL
"1793","TADA (aka TAD) "," Türk Arkeologji Dergisi (Ankara)   ",NULL,NULL
"1794","Tammuz (aka Jacobsen Tammuz) "," Th. Jacobsen, Towards the Image of Tammuz and Other Essays on Mesopotamian History (= HSS 21, 1970)   ",NULL,NULL
"1795","TAPS "," Transactions of the American Philosophical Society   ",NULL,NULL
"1796","TAVO "," Tübinger Atlas des Vorderen Orients (Wiesbaden 1977 ff.); Beihefte  Reihe A, Naturwissenschaften (1977 ff.); Reihe B, Geisteswissenschaften (1972 ff.)  ",NULL,NULL
"1797","Tavolette "," G. Boson, Tavolette cuneiformi sumere   ",NULL,NULL
"1798","TBC "," Texts from the Babylonian Collection, 2 (New Haven 1986)   ",NULL,NULL
"1799","TBER "," J.-M. Durand, Textes Babyloniens d'époque récente (= Recherche sur les grandes civilisations, Cahier 6, Paris 1981)   ",NULL,NULL
"1800","TBP "," F. R. Kraus, Texte zur Babylonischen Physiognomatik, AfO Beih. 3, Berlin 1939.   ",NULL,NULL
"1801","TC "," G. Contenau, Tablettes Cappadociennes (Paris, 1920) = TCL 4   ",NULL,NULL
"1802","TCAE "," J. N. Postgate, Taxation and Conscription in the Assyrian Empire (= StPohl SM 3, 1974)   ",NULL,NULL
"1803","TCBI 1 "," Pomponio, Francesco. Tavolette cuneiformi di Adab delle collezioni della Banca d'Italia. Rome  Centro Stampa della Banca d'Italia 2006  ",NULL,NULL
"1804","TCBI 2 "," Pomponio, Francesco, Stol, Martin, and Westenholz, Aage. Tavolette cuneiformi di varia provenienza delle collezioni della Banca d’Italia. Rome  Centro Stampa della Banca d'Italia 2006  ",NULL,NULL
"1805","TCL "," Textes cunéiformes, Musées du Louvre (Paris 1910 ff.)   ",NULL,NULL
