"id","abbreviation","fullform","type","publication_id"
"194","Aradmu to Shulgi 1"," letter Ali Letters 27ff. A 1; Michalowski Correspondence 135ff.; Ali, Sumer 26, 146ff.; Michalowski LEM no. 96  ",NULL,NULL
"195","Aradmu to Shulgi 2"," letter; Michalowski Correspondence 160ff.   ",NULL,NULL
"196","Aradmu to Shulgi 3"," letter; Michalowski Correspondence 167ff.   ",NULL,NULL
"197","Aradmu to Shulgi 4"," letter; J. van Dijk, Sumer 15, 10ff.; Michalowski Correspondence 172ff.   ",NULL,NULL
"198","Aradmu to Shulgi 5"," letter; ms. P. Michalowski   ",NULL,NULL
"199","Aradmu to Shulgi 6"," letter; C. Wilcke WO 5, 2f.; Michalowski Correspondence 177ff.   ",NULL,NULL
"200","Arch."," Archaic (texts)   ",NULL,NULL
"201","Arch."," Archaeologia (London 1888-1966)   ",NULL,NULL
"202","Archaeology"," Archaeology (Archaeological Institute of America)   ",NULL,NULL
"203","ArchAnz. (aka AA)"," Archäologischer Anzeiger (Berlin 1849 ff.)   ",NULL,NULL
"204","ArchBibel"," Zabern, von (editor) nd   ",NULL,NULL
"205","Archeology"," Archeology. A magazine dealing with the Antiquity of the world (Cambridge, Mass.-New York)   ",NULL,NULL
"206","Archives of Drehem"," S. Langdon, Tablets from the Archives of Drehem   ",NULL,NULL
"207","ARES"," Archivi reali di Ebla. Studi (Rome 1988 ff.)   ",NULL,NULL
"208","ARET"," Archivi reali di Ebla. Testi (Rome 1985 ff.)   ",NULL,NULL
"209","ARI"," A.K. Grayson, Assyrian Royal Inscriptions (Wiesbaden 1972/1976)   ",NULL,NULL
"210","ARK (aka EL)"," F. Eisser/J. Lewy, Die altassyrischen Rechtsurkunden vom Kültepe (I = MVAeG 33 [1930]; II = 35/3 [1935])   ",NULL,NULL
"211","ARM"," Archives royales de Mari (= TCL 22-31)   ",NULL,NULL
"212","ARMT"," Archives royales de Mari, traduction (Paris 1950 ff.)   ",NULL,NULL
"213","ARN"," M. Çig/H. Kizilyay/F. R. Kraus, Altbabylonische Rechtsurkunden aus Nippur (Istanbul 1952)   ",NULL,NULL
"214","ArOr"," Archiv Orientalni (Prague)   ",NULL,NULL
"215","ARRIM"," Annual Review of the Royal Inscriptions of Mesopotamia Project (Toronto 1983 ff.)   ",NULL,NULL
"216","Art de la Mésopotamie"," Ch. Zervos, L'art de la Mésopotamie de la fin du quatrième millénaire au XVe siècle avant notre ère (Paris 1935)   ",NULL,NULL
"217","ArtAs (aka AA, Artibus Asiae)"," Artibus Asiae (Ascona 1925/26 ff.)   ",NULL,NULL
"218","ARV"," D. Arnaud, Altbabylonische Rechts- und Verwaltungsurkunden (= BBVOT 1, 1989)   ",NULL,NULL
"219","AS"," Assyriological Studies (Oriental Institute, Univ. of Chicago)   ",NULL,NULL
"220","ASA"," M. Höfner, Altsüdarabische Grammatik, Porta Linguarum Orientalium 24, Leipzig 1943   ",NULL,NULL
"221","ASAW"," Abhandlungen der S&auml;chsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse   ",NULL,NULL
"222","Asb."," Assurbanipal, A = Prisma A following M. Streck, VAB VII/2 (1916) 2 ff.; B = Prism B following A. C. Piepkorn, AS 5(1933); (= Prism C following M. Streck, VAB VII/2, S.138 ff.); F = Prism F following J.-M. Aynard, Le prisme du Louvre (Paris 1957)   ",NULL,NULL
"223","Ash."," R. Borger, Die Inschriften Asarhaddons (= AfO Beih. 9, 1956)   ",NULL,NULL
"224","Ashergita"," lit. comp.; J. Black, Acta Sum 7, 11-87   ",NULL,NULL
"225","ASJ (aka Acta Sum) "," Acta Sumerologica (Hiroshima, Japan 1979 ff.)   ",NULL,NULL
"226","ASKT "," P. Haupt, Akkadische und sumerische Keilschrifttexte   ",NULL,NULL
"227","Ass. "," Assyrian   ",NULL,NULL
"228","AssCapp "," P. Garelli, Les Assyriens en Cappadoce (Paris 1963)   ",NULL,NULL
"229","ASSF "," Acta Societatis Scientiarum Fennicae (Helsinki)   ",NULL,NULL
"230","AssLaws "," G.R. Driver/J.C. Miles, The Assyrian Laws (Oxford 1935)   ",NULL,NULL
"231","Assur "," Assur. Monographic Journals of the Near East (Malibu 1974 ff.)   ",NULL,NULL
"232","Assyrian Stone Vessels "," Assyrian Stone Vessels and related material in the British Museum, A. Searight, J. Reade & I. Finkel (Oxbow 2008)   ",NULL,NULL
"233","Assyriological Miscellanies "," Assyriological Miscellanies (Institute of Assyriology, Copenhagen)   ",NULL,NULL
"234","AST "," Arastirma Sonuclari Toplantisi   ",NULL,NULL
"235","astrol. "," astrological (texts)   ",NULL,NULL
"236","Astrolabe B "," E. Weidner, Handbuch der babylonischen Astronomie 63ff.; E. Reiner and D. Pingree, BiMesop. 2/2, 151-152; G. ,Cagirgan, Belleten 48, 399- 416   ",NULL,NULL
"237","astron. "," astronomical (texts)   ",NULL,NULL
"238","AT "," Altes Testament   ",NULL,NULL
"239","AT "," Tel Atshana (Alalakh) Text, excavation sigla for 1937 (see also ATT)   ",NULL,NULL
"240","ATHE "," B. Kienast, Die altassyrischen Texte des Orientalischen Seminars in Heidelberg und der Sammlung Erlenmeyer (= UAVA 1, 1960)   ",NULL,NULL
"241","Athenaeum "," Athenaeum. Studi periodici di letteratura e storia dell'antichità; (Pavia 1913- 1922); NS = nova series (1923 ff.)   ",NULL,NULL
"242","Atiqot "," Journal of the Israel Department of Antiquities   ",NULL,NULL
